Model_name,value
RNN,0.49086696
RNN,0.49400783
RNN,0.4872797
RNN,0.47909945
RNN,0.49160588
RNN,0.49050534
RNN,0.49110618
RNN,0.48856983
RNN,0.5022835
RNN,0.48226455
RNN,0.4697009
RNN,0.49412408
RNN,0.48542067
RNN,0.4862994
RNN,0.47388324
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
GRU,0.49580902
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
LSTM,0.49883407
BGRU,0.4956989
BGRU,0.49656177
BGRU,0.4956654
BGRU,0.49590996
BGRU,0.49564895
BGRU,0.49385184
BGRU,0.49668655
BGRU,0.49496412
BGRU,0.49475622
BGRU,0.50006527
BGRU,0.49738258
BGRU,0.49675027
BGRU,0.496191
BGRU,0.49683815
BGRU,0.4936339
BiLSTM,0.4997524
BiLSTM,0.50135463
BiLSTM,0.49941102
BiLSTM,0.5008959
BiLSTM,0.49980876
BiLSTM,0.49941298
BiLSTM,0.49989885
BiLSTM,0.49788374
BiLSTM,0.50080884
BiLSTM,0.4990387
BiLSTM,0.5010279
BiLSTM,0.50001794
BiLSTM,0.5005054
BiLSTM,0.49931523
BiLSTM,0.5003985
