Model_name,train_loss,val_loss,Epoch
RNN,0.7121,0.6526000000000001,1
RNN,0.706,0.6834,2
RNN,0.701,0.6566,3
RNN,0.6957,0.6833,4
RNN,0.6920000000000001,0.6644,5
GRU,0.6878,0.6781999999999999,1
GRU,0.6795,0.6705,2
GRU,0.6609,0.6956,3
GRU,0.6406000000000001,0.6858,4
GRU,0.6182,0.7595000000000001,5
BiLSTM,0.6878,0.6918000000000001,1
BiLSTM,0.6776000000000001,0.6984,2
BiLSTM,0.6476999999999999,0.7228,3
BiLSTM,0.6065,0.7659999999999999,4
BiLSTM,0.5632,0.8048000000000001,5
BGRU,0.6877,0.6939,1
BGRU,0.6768000000000001,0.7025,2
BGRU,0.647,0.7231000000000001,3
BGRU,0.6103000000000001,0.7723,4
BGRU,0.5760000000000001,0.8084,5
LSTM,0.6878,0.6807,1
LSTM,0.6798000000000001,0.6887000000000001,2
LSTM,0.6618999999999999,0.7265999999999999,3
LSTM,0.6399,0.7417,4
LSTM,0.6184000000000001,0.7663,5
